customer_id,product_parent,star_rating,helpful_votes,total_votes,product_category_encoded,review_sentiment,review_body,product_category
17747349,106182406,4.0,0.0,0.0,0,positive,so far so good,Digital_Software
10956619,162269768,3.0,0.0,0.0,0,neutral,needs a little more work,Digital_Software
13132245,831433899,1.0,1.0,2.0,0,negative,please cancel,Digital_Software
35717248,991059534,5.0,0.0,0.0,0,positive,works as expected,Digital_Software
17710652,574904556,4.0,1.0,2.0,0,positive,ive had webroot for a few years it expired and i decided to purchase a renewal on amazon i went through hell trying to uninstall the expired version in order to install the new  i called webroot and had their representative remote into my computer at his request he was clueless as a bad joke and consumed 29 minutes and 57 seconds of my time forever  he initially told me it wasnt compatible with windows 10 but i finally managed to convince him that it is indeed compatible with windows 10 as it was working on my computer before it expired and also i showed him a review on amazon to convince him that it works on windows 10 finally he offered to connect me with a senior consultant for over 100 dollars i declined and told him id fix the issue myself this guy was less helpful than a severed limb  after spending some time on google the issue is now fixed webroot should just get rid of their customer service and pay google for indexing much more helpful info that their dedicated customer service can offer  as far as the software itself i think it scans fast does not slow down my computer and i hope like most other people including experts that its very effective in removing and preventing malware  years ago i did extensive research and found it to be among the best but that was over 4 years ago things are fluid in the malware kingdom  to those experiencing the same issue installing as i did  my advice  dont bother uninstalling the old version rather launch webroot and click on  34my account34 on the right side then copy and past your product key in the area that says 34enter a new keycode34 then click on activate this will save numerous painful hours of trying to get the thing to work,Digital_Software
42392705,306022575,5.0,4.0,4.0,0,positive,excellent software   dont need to do anything when its set up in automatic mode noticed a big difference after the first scantests,Digital_Software
52845868,54873662,1.0,1.0,1.0,0,negative,the variations created by win10 induced this program to eat every bit of work up to that time all of it hundreds of hours of work guess whos unhappy,Digital_Software
15696503,103182180,1.0,0.0,0.0,0,negative,horrible  would not upgrade previous version files and when i gave up on that and figured id just move forward it wouldnt let me log in even after numerous creations of a new account trying an existing account  very frustrating  i returned it,Digital_Software
9723928,608720080,1.0,0.0,0.0,0,negative,waste of time,Digital_Software
23522877,87969525,5.0,0.0,0.0,0,positive,work as easy as other tools that i have used,Digital_Software
17022093,249773946,5.0,0.0,0.0,0,positive,works perfectly,Digital_Software
11635690,956532818,1.0,0.0,2.0,0,negative,will not open on my window 8 boooo,Digital_Software
50349059,8655796,5.0,0.0,0.0,0,positive,purchased this on sell got 10 pc installment for 30  i had the norton 360 but didnt really need all of that  mainly the security  the backup i am sure will be ok  i use this and two other more malware programs to keep things safebr br along with this i am using 34malwearbytes34 and 34suprantivirus34  it sounds like over kill but it really isnt  each one seems to be good at what it does and with todays world you just need all the protection you can get  they dont really seem to get in the way of each other,Digital_Software
450121,7338419,1.0,0.0,1.0,0,negative,god awful and didnt work,Digital_Software
2320642,985055699,3.0,2.0,3.0,0,neutral,i think its complicated to use to be honest,Digital_Software
16089737,490456974,1.0,2.0,2.0,0,negative,you can purchase this to gain full access to the hw materialbut you wont be registered under your class i spoke with mcgraw hill about this issue and tried to have them link my account to my class but they couldnt do it it is a waste of 25 unless you want to practice on your own for fun like reallyyou must purchase from the website directly or it will not register you to the class but i spoke with amazon and they were very friendly and helped me with the return after i told them about my issuebr br product wastebr br amazon customer service fricking amazing,Digital_Software
14082044,57097904,2.0,0.0,0.0,0,negative,it wont download,Digital_Software
18246272,962800663,5.0,0.0,0.0,0,positive,i have been using for two years with full protection,Digital_Software
31837971,154476766,5.0,0.0,0.0,0,positive,this was a great bargain after the price rewind from my credit card company rebated me most of the cost,Digital_Software
12631500,780881648,3.0,0.0,0.0,0,neutral,did not useinternet connection too slow,Digital_Software
20615545,831268916,1.0,2.0,3.0,0,negative,thought this included search with it  and no  it does not  added fees for everything,Digital_Software
128223,905280751,1.0,0.0,0.0,0,negative,unable to download,Digital_Software
6453415,8655796,5.0,0.0,0.0,0,positive,so far working as expectedadvertised as far as i can tell,Digital_Software
2320642,795291429,1.0,0.0,0.0,0,negative,software wouldnt work on my pc amazon actually refunded me thank goodness,Digital_Software
49243090,16665562,4.0,0.0,1.0,0,positive,still getting used to the difference between the pc edition and this new one for the mac,Digital_Software
36099898,439266477,5.0,1.0,2.0,0,positive,no comment product the same as expected,Digital_Software
12253807,176069741,4.0,0.0,0.0,0,positive,pro pack lets you do a number of things that the home version of windows wont let you do  i back up my computer to my local cloud drive and you can do that with the home version,Digital_Software
20403979,831433899,4.0,1.0,1.0,0,positive,this product was good when i first started using it but now that windows 10 has come out it doesnt load into the system tray nor does it sync with the online cloud and consequently i dont know if my pictures are updating like they should,Digital_Software
13179574,801860929,5.0,0.0,0.0,0,positive,quick and easy to use enabled me to file my tax return easily and with confidence that everything was entered correctly  we efiling i received my tax over payment quickly i highly recommend using it,Digital_Software
50349059,437803962,5.0,0.0,0.0,0,positive,nice and works well,Digital_Software
37761050,925385625,1.0,0.0,0.0,0,negative,nice idea if it worked but the software never truly showed the actual balance i always had to double check my bank accounts to make sure what quicken was showing me was actually true and it wasnt,Digital_Software
51726655,129292107,4.0,0.0,1.0,0,positive,ive used turbotax annually for several years  overall i still find it useful  one reservation is that this system and some others have evolved to where you just put in numbers and proceed blindly along until the end and you are supposed to trust that everything is being done correctly even though it is all out of sight  numbers flow into some forms that you never see at the time of entry until you are told you are done and you print out the final data or save as a pdf  since i only do this once a year i prefer a bit more informationreassurance along the way that all is being done correctly and appropriately  it did save me a few dollars somewhere  im still not sure where,Digital_Software
9449711,574904556,5.0,0.0,0.0,0,positive,so far so good installed on 2 computers and have yet to have a problem,Digital_Software
45901892,550306665,5.0,0.0,0.0,0,positive,excelente,Digital_Software
25939176,962800663,5.0,0.0,0.0,0,positive,after reading reviews on various web sites and based on testimonials from friends kaspersky seemed the best choice simple to install and use i would highly recommend this av,Digital_Software
49721516,831433899,5.0,1.0,2.0,0,positive,i feel safe having my photos in the amazon cloud  i am slowly scanning my film and saving the files there also,Digital_Software
11701537,521201578,1.0,2.0,2.0,0,negative,despite what this page and intuit says this program is not compatible with windows 10 in fact after 45 hours of troubleshooting with three different intuit agents i was finally informed that none of the existing quicken programs are compatible with w10 i was told to wait for their software engineer to create a fix or wait for 2016 this is not a solution when you were using quicken 2014 and have all of your financial data on it which is now not accessible because quicken was too slow in ensuring comparability,Digital_Software
